Customer ID,Monetary,Frequency,LastInvoiceDate,Recency,Cluster,Cluster_Label,Monetary per 100 pounds
12346,77352.96,3,1/18/2011 10:01,325,0,Mid-Tire,773.5296
12347,5633.32,8,12/7/2011 15:52,1,0,Mid-Tire,56.3332
12348,1658.4,5,9/25/2011 13:13,74,2,New,16.584
12349,3678.69,3,11/21/2011 9:51,18,2,New,36.7869
12350,294.4,1,2/2/2011 16:01,309,1,At Risk,2.944
12351,300.93,1,11/29/2010 15:23,374,1,At Risk,3.0093
12352,1729.54,9,11/3/2011 14:37,35,0,Mid-Tire,17.2954
12353,406.76,2,5/19/2011 17:47,203,2,New,4.0676
12354,1079.4,1,4/21/2011 13:11,231,2,New,10.794
12355,947.61,2,5/9/2011 13:49,213,2,New,9.4761
12356,5613.68,6,11/17/2011 8:40,22,0,Mid-Tire,56.1368
12357,17437.66,2,11/6/2011 16:07,32,0,Mid-Tire,174.3766
12358,3447.07,5,12/8/2011 10:26,1,2,New,34.4707
12359,8935.94,10,10/13/2011 12:47,57,0,Mid-Tire,89.3594
12360,3612.89,6,10/18/2011 15:22,51,2,New,36.1289
12361,451.25,4,2/25/2011 13:51,286,2,New,4.5125
12362,4737.23,10,12/6/2011 15:40,2,0,Mid-Tire,47.3723
12363,552,2,8/22/2011 10:18,109,2,New,5.52
12364,1208.1,4,12/2/2011 10:22,7,2,New,12.081
12365,320.69,1,2/21/2011 13:51,290,1,At Risk,3.2069
12366,500.24,1,3/16/2010 10:28,633,1,At Risk,5.0024
12367,150.9,1,12/5/2011 16:48,3,2,New,1.509
12368,917.7,1,3/21/2010 15:56,627,1,At Risk,9.177
12369,1511.15,3,10/22/2010 13:13,412,1,At Risk,15.1115
12370,3960.31,7,10/19/2011 14:51,50,0,Mid-Tire,39.6031
12371,3347.38,4,10/11/2011 10:43,59,2,New,33.4738
12372,1196.04,3,9/29/2011 12:12,71,2,New,11.9604
12373,927.65,3,2/1/2011 13:10,310,1,At Risk,9.2765
12374,2669.22,3,11/14/2011 15:37,24,2,New,26.6922
12375,377.5,2,11/29/2011 10:36,10,2,New,3.775
12376,383.15,2,11/15/2010 12:15,389,1,At Risk,3.8315
12377,3266.32,4,1/28/2011 15:45,314,1,At Risk,32.6632
12378,5416.32,2,8/2/2011 10:34,129,2,New,54.1632
12379,1470.22,4,9/19/2011 10:09,81,2,New,14.7022
12380,7210.65,8,11/18/2011 11:27,21,0,Mid-Tire,72.1065
12381,1474.81,3,12/5/2011 12:44,4,2,New,14.7481
