Customer ID,Monetary,Frequency,LastInvoiceDate,Recency,R,F,M,RFM_Segment,RFM_Score,RFM_Segment_label
12346.0,77352.96,3,2011-01-18 10:01:00,325,2,2,4,224,8,Mid-tire
12347.0,5633.32,8,2011-12-07 15:52:00,1,4,4,4,444,12,Champion
12348.0,1658.3999999999999,5,2011-09-25 13:13:00,74,3,3,3,333,9,Lost
12349.0,3678.69,3,2011-11-21 09:51:00,18,4,2,4,424,10,Champion
12350.0,294.4,1,2011-02-02 16:01:00,309,2,1,1,211,4,At risk
12351.0,300.93,1,2010-11-29 15:23:00,374,2,1,1,211,4,At risk
12352.0,1729.54,9,2011-11-03 14:37:00,35,3,4,3,343,10,Champion
12353.0,406.76,2,2011-05-19 17:47:00,203,2,2,2,222,6,Mid-tire
12354.0,1079.4,1,2011-04-21 13:11:00,231,2,1,3,213,6,New customer
12355.0,947.61,2,2011-05-09 13:49:00,213,2,2,3,223,7,Mid-tire
12356.0,5613.68,6,2011-11-17 08:40:00,22,4,3,4,434,11,Champion
12357.0,17437.66,2,2011-11-06 16:07:00,32,3,2,4,324,9,Lost
12358.0,3447.07,5,2011-12-08 10:26:00,1,4,3,4,434,11,Champion
12359.0,8935.94,10,2011-10-13 12:47:00,57,3,4,4,344,11,Champion
12360.0,3612.89,6,2011-10-18 15:22:00,51,3,3,4,334,10,Champion
12361.0,451.25,4,2011-02-25 13:51:00,286,2,3,2,232,7,Mid-tire
12362.0,4737.23,10,2011-12-06 15:40:00,2,4,4,4,444,12,Champion
12363.0,552.0,2,2011-08-22 10:18:00,109,2,2,2,222,6,Mid-tire
12364.0,1208.1,4,2011-12-02 10:22:00,7,4,3,3,433,10,Champion
12365.0,320.69,1,2011-02-21 13:51:00,290,2,1,1,211,4,At risk
12366.0,500.24,1,2010-03-16 10:28:00,633,1,1,2,112,4,At risk
12367.0,150.9,1,2011-12-05 16:48:00,3,4,1,1,411,6,New customer
12368.0,917.6999999999999,1,2010-03-21 15:56:00,627,1,1,3,113,5,At risk
12369.0,1511.15,3,2010-10-22 13:13:00,412,1,2,3,123,6,Mid-tire
12370.0,3960.31,7,2011-10-19 14:51:00,50,3,3,4,334,10,Champion
12371.0,3347.38,4,2011-10-11 10:43:00,59,3,3,4,334,10,Champion
12372.0,1196.04,3,2011-09-29 12:12:00,71,3,2,3,323,8,Mid-tire
12373.0,927.6500000000001,3,2011-02-01 13:10:00,310,2,2,3,223,7,Mid-tire
12374.0,2669.22,3,2011-11-14 15:37:00,24,4,2,4,424,10,Champion
12375.0,377.5,2,2011-11-29 10:36:00,10,4,2,2,422,8,Mid-tire
12376.0,383.15,2,2010-11-15 12:15:00,389,1,2,2,122,5,At risk
12377.0,3266.32,4,2011-01-28 15:45:00,314,2,3,4,234,9,Lost
12378.0,5416.32,2,2011-08-02 10:34:00,129,2,2,4,224,8,Mid-tire
12379.0,1470.22,4,2011-09-19 10:09:00,81,3,3,3,333,9,Lost
12380.0,7210.65,8,2011-11-18 11:27:00,21,4,4,4,444,12,Champion
12381.0,1474.81,3,2011-12-05 12:44:00,4,4,2,3,423,9,Lost
12383.0,1628.56,5,2011-06-08 08:02:00,184,2,3,3,233,8,Mid-tire
12384.0,425.27000000000004,2,2011-11-11 08:39:00,28,3,2,2,322,7,Mid-tire
12385.0,1668.4,1,2010-11-25 15:14:00,378,2,1,3,213,6,New customer
12386.0,660.8,2,2011-01-06 12:37:00,337,2,2,2,222,6,Mid-tire
12387.0,143.94,1,2010-10-20 16:27:00,414,1,1,1,111,3,Lost
12388.0,3901.11,8,2011-11-24 12:30:00,15,4,4,4,444,12,Champion
12389.0,1433.33,3,2010-11-02 11:52:00,402,1,2,3,123,6,Mid-tire
12390.0,504.84000000000003,1,2011-09-21 09:33:00,79,3,1,2,312,6,New customer
12391.0,2773.42,6,2011-11-18 12:07:00,21,4,3,4,434,11,Champion
12392.0,234.75000000000003,1,2010-04-27 14:04:00,590,1,1,1,111,3,Lost
12393.0,2399.4500000000003,6,2011-09-28 15:41:00,71,3,3,4,334,10,Champion
12394.0,1080.48,2,2011-10-07 08:08:00,63,3,2,3,323,8,Mid-tire
12395.0,4551.27,15,2011-11-20 15:21:00,18,4,4,4,444,12,Champion
12396.0,931.43,1,2010-02-03 13:22:00,673,1,1,3,113,5,At risk
12397.0,2214.9,2,2011-11-04 09:52:00,35,3,2,3,323,8,Mid-tire
12398.0,1435.66,1,2011-10-25 10:27:00,45,3,1,3,313,7,New customer
12399.0,1842.3,7,2011-08-12 13:15:00,118,2,3,3,233,8,Mid-tire
12400.0,205.25,1,2010-10-21 13:45:00,413,1,1,1,111,3,Lost
12401.0,69.3,1,2011-02-09 13:50:00,302,2,1,1,211,4,At risk
12402.0,1136.9,6,2011-01-20 13:49:00,322,2,3,3,233,8,Mid-tire
12403.0,947.36,2,2011-10-21 10:51:00,49,3,2,3,323,8,Mid-tire
12405.0,1390.39,1,2011-07-14 08:52:00,148,2,1,3,213,6,New customer
12406.0,6390.36,5,2011-11-17 19:22:00,21,4,3,4,434,11,Champion
12407.0,1507.1200000000001,5,2011-10-21 10:11:00,49,3,3,3,333,9,Lost
